"","gene_id","p_value","p_value_adj_FDR"
"8847","KDELR2",0.00302703703703704,0.049942067046961
"10118","LOC728743",0.00309046153846154,0.049942067046961
"6622","FRAT1",0.00310930769230769,0.049942067046961
"3451","CDK3",0.00311942857142857,0.049942067046961
"3712","CHRNA5",0.00315754285714286,0.049942067046961
"18935","TULP1",0.00315924528301887,0.049942067046961
"9554","LIMA1",0.00317297142857143,0.049942067046961
"16305","SLC39A1",0.00317937931034483,0.049942067046961
"10656","MBOAT4",0.003184,0.049942067046961
"17363","STK24",0.00319660714285714,0.049942067046961
"4045","COL9A2",0.00320763888888889,0.049942067046961
"3336","CD5",0.00320933333333333,0.049942067046961
"7562","GZMM",0.00322666666666667,0.049942067046961
"13458","PKD1",0.003237,0.049942067046961
"4023","COL29A1",0.00324307317073171,0.049942067046961
"19548","WFDC1",0.00325775,0.049942067046961
"20423","ZNF83",0.00326333333333333,0.049942067046961
"17465","SUN1",0.00327,0.049942067046961
"18012","TIMP4",0.00330893333333333,0.049942067046961
"3758","CINP",0.00332625,0.049942067046961
"10289","LRRC48",0.00332729411764706,0.049942067046961
"1395","BCAP31",0.00336,0.049942067046961
"15339","RSPH4A",0.00336742857142857,0.049942067046961
"11302","MTP18",0.00337533333333333,0.049942067046961
"4276","CSF2RB",0.00340820689655172,0.049942067046961
"726","ANO8",0.00341385365853659,0.049942067046961
"16959","SOAT1",0.0034476,0.049942067046961
"6691","FUT2",0.00344828571428571,0.049942067046961
"10622","MAST3",0.00347095652173913,0.049942067046961
"6088","FAM65A",0.00347348148148148,0.049942067046961
"2830","CACNA1A",0.00348148148148148,0.049942067046961
"536","ALG2",0.00348444444444444,0.049942067046961
"13051","PCGF3",0.0034943,0.049942067046961
"1592","BSDC1",0.00352355555555555,0.049942067046961
"13977","PRCD",0.00353676923076923,0.049942067046961
"18075","TMBIM6",0.00354576,0.049942067046961
"19268","USP9Y",0.00360489795918367,0.049942067046961
"4745","DDX3Y",0.00369,0.049942067046961
"20153","ZNF471",0.00371875,0.049942067046961
"11075","MPP6",0.0037395652173913,0.049942067046961
"5684","ERP27",0.00374,0.049942067046961
"8911","KIAA0467",0.0037401875,0.049942067046961
"15651","SEC14L2",0.003762,0.049942067046961
"13132","PDE8B",0.0038073,0.049942067046961
"8702","KARS",0.00384,0.049942067046961
"8544","IRAK1",0.00386181818181818,0.049942067046961
"658","ANKRD13A",0.00388,0.049942067046961
"5394","EGFL6",0.00388931818181818,0.049942067046961
"13216","PES1",0.003894,0.049942067046961
"11379","MYF6",0.00390416666666667,0.049942067046961
"18284","TMEM55A",0.0039047619047619,0.049942067046961
"3592","CES3",0.00391583333333333,0.049942067046961
"15799","SESN1",0.0039425,0.049942067046961
"19488","WDR3",0.0039442,0.049942067046961
"11727","NECAP1",0.003952,0.049942067046961
"19906","ZMAT1",0.00396,0.049942067046961
"5813","FADS3",0.0039655,0.049942067046961
"8631","ITIH5",0.00398588235294118,0.049942067046961
"2992","CAV2",0.0040044,0.049942067046961
"13452","PIWIL4",0.00402926829268293,0.049942067046961
"5520","ELP4",0.00404588235294118,0.049942067046961
"676","ANKRD29",0.00405193548387097,0.049942067046961
"18470","TOP1P1",0.00407253333333333,0.049942067046961
"7954","HNRNPK",0.00407782608695652,0.049942067046961
"18537","TPSB2",0.00407811111111111,0.049942067046961
"20205","ZNF546",0.00408010526315789,0.049942067046961
"11759","NETO1",0.004081,0.049942067046961
"15190","RPL26L1",0.00409625,0.049942067046961
"20421","ZNF837",0.00409984615384615,0.049942067046961
"18804","TSSK6",0.00411942857142857,0.049942067046961
"13248","PFKM",0.00413252631578947,0.049942067046961
"11123","MRPL21",0.00416166666666667,0.049942067046961
"7325","GPR55",0.00418666666666667,0.049942067046961
"12924","PARP15",0.00422545454545455,0.049942067046961
"426","AHCYL2",0.00424452830188679,0.049942067046961
"18763","TSPAN11",0.004264,0.049942067046961
"15696","SEMA3C",0.00428633333333333,0.049942067046961
"8554","IRF4",0.00429381818181818,0.049942067046961
